sap_no,part_no,part_description,planned_output,is_active
10034293,P002621,P002621 Rear Cover,,1
10034294,P002622,P002622 Locking Slide,,1
10034295,P002623,P002623 Locking Slide Holder,,1
10034296,P002624,P002624 Partition Stop,,1
10034297,P002625,P002625 Side Panel Left,,1
10034298,P002626,P002626 Cover Support,,1
10034299,P002627,P002627 Side Panel Right,,1
10034300,P002628,P002628 Top Panel,,1
10034301,P002629,P002629 Top Panel Reinf,,1
10034302,P002631,P002631 Horizontal Groove,,1
10034303,P002632,P002632 Middle Divided Plate Left,,1
10034304,P002633,P002633 Middle Divided Plate Right,,1
10034305,P002634,P002634 Middle Divided Plate Reinf,,1
10034306,P002635,P002635 Inner Plate Left,,1
10034307,P002636,P002636 Inner Pad Plate Reinf,,1
10034309,P002637,P002637 Inner Plate Right,,1
10034310,P002638,P002638 Supply Holder,,1
10034311,P002639,P002639 Drawer Back Top Large,,1
10034312,P002640,P002640 Drawer Handle Top Large,,1
10034313,P002641,P002641 Drawer Body Top Large,,1
10034314,P002642,P002642 Drawer Back Top Small,,1
10034315,P002643,P002643 Drawer Handle Top Small,,1
10034316,P002644,P002644 Drawer Body Top Small,,1
10034317,P002645,P002645 Drawer Top Reinf,,1
10034318,P002646,P002646 Drawer Back Small Left,,1
10034319,P002649,P002649 Drawer Back Big Left,,1
10034320,P002652,P002652 Drawer Back Large Left,,1
10034321,P002653,P002653 Drawer Handle Large Left,,1
10034322,P002654,P002654 Drawer Body Large Left,,1
10034323,P002655,P002655 Drawer Back Big Right,,1
10034324,P002657,P002657 Drawer Body Big Right,,1
10034325,P002658,P002658 Drawer Back Large Right,,1
10034326,P002659,P002659 Drawer Handle Large Right,,1
10034327,P002660,P002660 Drawer Body Large Right,,1
10034328,P002808,P002808 Wire Chain Limit,,1
10034391,P003222,P003222 Middle Divided Plate Reinf,,1
10034392,P003223,P003223 BBS Holder Reinf,,1
10034393,P003224,P003224 BBS Holder Reinf,,1
10034960,P003455,P003455 Flat head half hexagon rivet nut,,1
10034961,10034961,AIR DRYING CPI RED(TOUCH UP),,1
10034962,10034962,AIR DRYING CPI BLACK(TOUCH UP),,1
10034963,10034963,AIR DRYING CPI GRAY(TOUCH UP),,1
10034964,10034964,AIR DRYING CPI BLUE(TOUCH UP),,1
10035032,P000936,P000936 Hexagon flange nut M8,,1
10035033,P002958,P002958 Hexagon flange bolt M8×35,,1
10035034,P002960,P002960 Hexagon flange nut M6,,1
10035035,P003490,P003490 Hexagon flange bolt M6×35,,1
10035036,P003517,P003517 Flat washer 20×8.5×2mm,,1
10035143,CM01000004,CM01000004 High gloss blue powder,,1
10035144,CM01000021,CM01000021 High gloss gray powder,,1
10035328,P003602,"P003602 Flat washer 20×10.5×2mm, black zinc",,1
10035329,P003603,"P003603 Spring washerΦ10.5, thickness 3, black zinc",,1
10035330,P003604,"P003604 Hexagonal head bolt M10×30mm, grade 8.8, black zinc",,1
10035742,10035742,สีสเปรย์ 002 TOA สีดำ,,1
10035743,10035743,สีสเปรย์ 024 TOA DARK GREY,,1
20002006,PM990002,PM990002 White packaging tape,,1
20004087,PM990003,PM990003 Tape,,1
20004089,PM990001,PM990001 Sealing glue,,1
20004241,P001106,P001106 Rubber trademark U.S.GENERAL,,1
20004916,P002942,P002942 Wooden pallet 500×285×115,,1
20004917,P002943,P002943 Wooden strips 600×60×30,,1
20004918,P002944,P002944 Wooden strips 622×45×25,,1
20004930,P003319,P003319 Foam edge guard 1070×50×50mm,,1
20004931,P003320,P003320 Paper corner guard ,,1
20004939,PM030256,PM030256 TC-5608TSR five-piece paper box,,1
20004949,PM080441,PM080441 Carton mark,,1
20004951,P002665,P002665 Rubber pad 1432x551x2,,1
20004960,PM050312,PM050312 Foam board 690×551×20mm,,1
20004961,PM050313,PM050313 Foam board 1100×498×20mm,,1
20004962,PM050314,PM050314 Foam board 1070×685×20mm,,1
20004965,P002673,P002673 Wooden pallet 1515×622×145mm,,1
20004972,PM040011,PM040011 Plastic bag 200x600,,1
20004973,PM040095,PM040095 Sealed bag 70x80,,1
20004974,PM040097,PM040097 Red sealed bag 80x130,,1
20004979,PM040154,PM040154 Plastic bag (2200)×1800mm,,1
20004981,P003300,P003300 Rubber trademark SERIES3,,1
20004982,PM080101,PM080101 Warning label,,1
20004985,PM080420,PM080420 Carton tracking code label,,1
20004992,PM080439,PM080439 TC-5608TSR color sticker,,1
20004993,PM080440,PM080440 TC-5608TSR large warning label,,1
20004998,PM990004,PM990004 Black nylon rope,,1
20005003,PM090142,PM090142 TC-5608TSR English manual,,1
20005011,PM040121,PM040121 Bubble film 900×800mm,,1
20005023,PM060066,PM060066 PVC pad 1321×494×2mm,,1
20005024,PM060072,PM060072 PVC pad 253×494×2mm,,1
20005027,PM060102,PM060102 PVC pad 308x494x2,,1
20005028,PM060103,PM060103 PVC pad 942x494x2,,1
20005130,PM070240,PM070240 Cardboard 1515×626mm,,1
20005131,PM080460,PM080460 Power Warning Label,,1
20005132,PM080479,PM080479 TC-5608TSB color sticker,,1
20005133,PM080480,PM080480 TC-5608TSB Large Warning Label,,1
20005134,PM080481,PM080481 Box Mark,,1
20005135,PM080482,PM080482 TC-5608TSBLU color sticker,,1
20005136,PM080483,PM080483 TC-5608TSBLU Large Warning Labe,,1
20005137,PM080484,PM080484 Box Mark,,1
20005138,PM080485,PM080485 TC-5608TSGRY color sticker,,1
20005139,PM080486,PM080486 TC-5608TSGRY Large Warning Labe,,1
20005140,PM080487,PM080487 Box Mark,,1
20005150,PM050326,PM050326 Foam board 470×230×120mm,,1
20005151,PM080526,PM080526 ETL certification label,,1
20005152,PM990002,PM990002 White packaging HV12-18W,,1
20005248,PM080527,PM080527 ETL certification label,,1
20005249,PM080528,PM080528 ETL certification label,,1
20005250,PM080529,PM080529 ETL certification label,,1
20005330,P003610,P003610 6 inch caster paper corner protector,,1
20005331,P003611,P003611 Lower left wooden strip,,1
20005332,P003612,P003612 Lower right wooden strip,,1
20005593,PM080541,PM080541 Box Mark,,1
20005594,PM080545,PM080545 Production date sticker,,1
27000057,27000057,AR1 BAG 87 CM*84CM (เม็ดนอก),,1
30021488,30021488,SCECUA04,,1
30021489,30021489,SCECUA04,,1
30021490,30021490,SCECUA04,,1
30021491,30021491,SCECUA04,,1
30021492,30021492,SCECUA04,,1
30021493,30021493,SCECUA04,,1
30023050,P002622,P002622 Locking Slide Bend,100,1
30023052,P002626,P002626 Cover Support Press,100,1
30023145,P002622,P002622 Locking Slide Laser,450,1
30023146,P002624,P002624 Partition Stop Bend,200,1
30023147,P002625,P002625 Side Panel Left Bend,133.3333333,1
30023149,P002632,P002632 Middle Divided Plate Left Bend,300,1
30023151,P002634,P002634 Middle Divided Plate Reinf Bend,200,1
30023152,P002634,P002634 Middle Divided Plate Reinf Laser,720,1
30023153,P002636,P002636 Inner Pad Plate Reinf Bend,100,1
30023154,P002636,P002636 Inner Pad Plate Reinf Laser,276.9230769,1
30023197,P003222,P003222 Middle Divided Plate Reinf Bend,200,1
30023198,P003222,P003222 Middle Divided Plate Reinf Laser,720,1
30023199,P003223,P003223 BBS Holder Reinf Bend,100,1
30023200,P003223,P003223 BBS Holder Reinf Laser,514.2857143,1
30023201,P003224,P003224 BBS Holder Reinf Bend,100,1
30023202,P003224,P003224 BBS Holder Reinf Laser,360,1
